Reaction,Pvalue,Padj,Reject,FC
R04672_c,0.001115801546231492,0.0015626158822224213,True,-0.4822207150469915
R05066_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5097311401860124
R03045_c,0.0335416594061465,0.043286178193864905,True,0.05486481860823508
R01512_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.3110890881123894
R05555_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.4565187464123805
TCP24_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.285662622745592
R04543_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5365459160060329
R00480_c_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.18635321433527993
R01070N_c_reverse,0.00396729438660086,0.005447499667501832,True,-0.08498254797985778
R02926_c,0.001115801546231492,0.0015626158822224213,True,0.12319673758126914
R04378_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.44740958540184256
R00245_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2808357956683868
R04559_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.6059060592179758
R04566_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5744281849171031
R00945_m_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.28390011711177726
R04742_x_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5571032425747978
R00200_p,5.569062975843453e-05,8.42345726095318e-05,True,-0.2128847073553655
R00405_m_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3585094480886967
TCX6,1.4508889103849681e-11,3.842730879806213e-11,True,0.27145798065706095
R04745_x,1.3259673752008224e-06,2.166031867102247e-06,True,0.20702713736509712
R02097_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.8246948675502246
R00754_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.32559158118511855
R04739_x,1.3259673752008224e-06,2.166031867102247e-06,True,0.220782782395911
R00355_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.22976431983023277
R00551_c,0.001115801546231492,0.0015626158822224213,True,0.1435318371272543
R00994_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.29298898974160315
TCX7,1.4508889103849681e-11,3.842730879806213e-11,True,0.2788947912824301
R01364_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.3015506859703968
R02530_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.24496026303913188
R08383_c,0.001115801546231492,0.0015626158822224213,True,0.21033153224089018
R06031_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.4554906159800665
